customer_id,is_existing_customer,relationship_years,monthly_income,employment_type,years_in_job,existing_emi,monthly_expenses,credit_score,previous_default,number_of_past_loans,late_payments_count,loan_amount,loan_tenure_months,loan_type,dti_ratio,loan_status,loan_result
C1000,0,2,81540,Self-employed,10,42577,41276,393,0,3,6,1414361,36,Home,1.0039833892023002,1,Can't Pay
C1001,1,7,118021,Salaried,0,7113,28689,385,0,1,8,745834,48,Personal,0.1919252364692159,1,Can't Pay
C1002,1,6,18271,Salaried,13,40910,68942,817,0,3,5,2254248,120,Personal,3.267221279623447,0,Can Pay
C1003,1,2,191554,Self-employed,10,22761,59146,729,0,3,8,1663618,48,Home,0.2997572921125809,0,Can Pay
C1004,0,5,15209,Self-employed,6,24992,20238,342,0,1,9,1427091,120,Personal,2.425170951410349,1,Can't Pay
C1005,0,3,151611,Self-employed,1,13778,65424,669,0,4,1,1817547,180,Auto,0.1574785690572144,0,Can Pay
C1006,0,10,34977,Business,14,21985,29807,703,0,3,4,1621723,120,Auto,1.0149343378029372,0,Can Pay
C1007,1,4,124920,Salaried,7,4367,79457,602,0,2,5,2958559,36,Home,0.6928369712171345,0,Can Pay
C1008,1,10,143156,Salaried,19,45447,16204,481,0,4,5,2704536,24,Personal,1.104641090837967,1,Can't Pay
C1009,1,4,114588,Salaried,14,10786,70245,468,0,1,3,1447370,120,Home,0.1993875158538997,0,Can Pay
C1010,0,6,83684,Salaried,7,45780,43567,502,0,0,3,1387067,180,Home,0.6391416253737605,1,Can't Pay
C1011,1,10,138862,Business,9,42706,40697,842,0,5,4,97486,180,Personal,0.3114429353522842,0,Can Pay
C1012,1,4,20607,Business,18,44461,6530,401,0,2,5,117148,24,Personal,2.39443716536452,1,Can't Pay
C1013,0,10,109786,Salaried,2,30908,29297,645,0,4,7,930717,36,Personal,0.5170171970925255,0,Can Pay
C1014,0,14,141406,Salaried,19,11051,79838,741,0,5,9,472219,12,Personal,0.3564387885473978,0,Can Pay
C1015,0,2,198011,Salaried,13,36746,53906,549,0,1,0,1391602,48,Home,0.3319901840470142,0,Can Pay
C1016,0,9,164666,Self-employed,8,15611,71251,482,0,2,7,758757,120,Auto,0.1332028166105935,0,Can Pay
C1017,1,4,22399,Salaried,8,4490,65748,601,0,4,1,2612607,12,Personal,9.920409393276486,0,Can Pay
C1018,0,6,141812,Salaried,5,31313,45295,579,0,5,6,2252225,60,Personal,0.4855025197679558,0,Can Pay
C1019,0,4,171189,Salaried,7,6377,57464,388,1,0,3,2824520,12,Personal,1.4122032763008523,1,Can't Pay
C1020,1,4,113662,Salaried,10,9903,12223,724,0,4,7,775141,180,Personal,0.1250139790685443,0,Can Pay
C1021,0,8,48617,Business,7,14567,18421,584,1,0,5,846232,48,Personal,0.6622546297248562,1,Can't Pay
C1022,0,14,153570,Salaried,11,22885,19066,429,0,0,4,2985854,24,Personal,0.9591429532677822,1,Can't Pay
C1023,0,2,117826,Salaried,9,28222,26576,547,0,3,9,1802871,48,Personal,0.5582962376725001,1,Can't Pay
C1024,0,12,144851,Salaried,3,48556,7140,488,0,1,9,1197241,120,Home,0.4040911580405612,0,Can Pay
C1025,1,5,126077,Salaried,15,26606,64016,390,0,3,4,281797,48,Home,0.2575947304689462,0,Can Pay
C1026,0,0,65624,Self-employed,19,17440,46378,464,0,0,3,622162,48,Auto,0.4632711863545857,0,Can Pay
C1027,1,9,24628,Salaried,5,2260,12370,847,0,1,2,349102,12,Home,1.2730158085647771,0,Can Pay
C1028,1,4,146401,Salaried,8,30267,56750,629,0,1,2,1007540,180,Personal,0.2449740400983903,0,Can Pay
C1029,0,7,53619,Self-employed,4,27002,17022,840,1,1,2,2445525,24,Home,2.403977601223447,1,Can't Pay
C1030,1,4,22032,Salaried,5,16833,64222,379,0,2,6,266973,24,Personal,1.2689213416848222,1,Can't Pay
C1031,0,8,194166,Self-employed,16,49720,23328,468,0,4,7,1309090,120,Home,0.3122538618158346,0,Can Pay
C1032,0,10,53034,Salaried,16,3498,7929,844,0,0,7,1638153,12,Personal,2.640018667270053,0,Can Pay
C1033,1,5,117658,Salaried,12,46729,48727,392,0,1,1,1895329,12,Personal,1.7395594293064078,1,Can't Pay
C1034,1,7,136123,Self-employed,16,10518,73919,678,0,5,2,1459017,12,Personal,0.9704660490879572,0,Can Pay
C1035,1,9,101158,Self-employed,13,12501,57692,508,0,2,1,202184,60,Personal,0.156890540870058,0,Can Pay
C1036,0,7,70264,Salaried,1,22254,54545,493,0,2,5,2146006,60,Personal,0.8257538236745228,1,Can't Pay
C1037,0,12,109120,Salaried,18,34076,53338,563,0,5,2,524083,48,Personal,0.4123386714931574,0,Can Pay
C1038,1,2,62850,Salaried,2,15902,64962,546,0,0,5,1895660,120,Home,0.5043622381331212,1,Can't Pay
C1039,0,6,19722,Salaried,1,33485,28161,747,0,3,3,2558802,60,Personal,3.860242368928101,1,Can't Pay
C1040,0,13,32772,Salaried,1,25545,13823,820,0,2,9,832348,180,Personal,0.9205771864871096,1,Can't Pay
C1041,0,6,101105,Self-employed,6,3345,38089,778,0,0,9,1184755,12,Home,1.0095898653215305,0,Can Pay
C1042,0,13,187751,Salaried,3,15370,65850,576,1,2,5,2414008,12,Personal,1.153321864242179,1,Can't Pay
C1043,1,9,19576,Salaried,16,46721,26053,428,0,0,2,1108136,12,Auto,7.10388571039368,1,Can't Pay
C1044,0,11,172779,Salaried,5,28231,22447,601,0,1,4,2777771,24,Auto,0.8332694270329919,0,Can Pay
C1045,1,5,114404,Salaried,6,41863,8111,813,0,3,7,1676277,120,Auto,0.4880246757106394,0,Can Pay
C1046,0,11,187704,Self-employed,19,9642,63820,659,0,5,2,2486170,180,Personal,0.1249523481415183,0,Can Pay
C1047,1,6,56476,Salaried,5,17839,73622,656,0,2,8,2202168,24,Personal,1.9405765280827252,0,Can Pay
C1048,1,13,176357,Salaried,8,23681,57963,765,0,5,8,1645773,60,Home,0.2898129929631373,0,Can Pay
C1049,0,1,39154,Business,19,7035,57503,471,0,2,6,1392536,180,Personal,0.3772618662489429,0,Can Pay
C1050,1,8,166126,Salaried,3,33299,46918,387,0,2,7,786021,36,Personal,0.3318740995790344,0,Can Pay
